start_timestamp,tournament_name,category_name,ground_type,round_name,status,winner,home_team,away_team,home_set1,home_set2,home_set3,home_set4,home_set5,away_set1,away_set2,away_set3,away_set4,away_set5
1743416400,"Bucharest, Romania",ATP,Red clay,Round of 32,Canceled,,Fábián Marozsán,Damir Džumhur,,,,,,,,,,
1743417000,"Menorca, Spain, Qualifying",Challenger,Red clay,Qualification Final,Ended,1.0,Daniel Merida,Neil Oberleitner,0.0,6.0,6.0,,,6.0,3.0,3.0,,
1743417900,"Menorca, Spain, Qualifying",Challenger,Red clay,Qualification Round 1,Ended,2.0,Daniel Cukierman,Ryan Nijboer,0.0,6.0,,,,6.0,7.0,,,
1743418800,"Marrakech, Morocco, Qualifying",ATP,Red clay,Qualification Final,Ended,1.0,Juan Manuel Cerundolo,Titouan Droguet,6.0,3.0,6.0,,,2.0,6.0,1.0,,
1743418800,"Marrakech, Morocco, Qualifying",ATP,Red clay,Qualification Final,Ended,1.0,Federico Coria,Calvin Hemery,6.0,6.0,,,,4.0,2.0,,,
1743418800,"Bucharest, Romania, Qualifying",ATP,Red clay,Qualification Final,Ended,1.0,Timofey Skatov,Radu Albot,6.0,7.0,,,,1.0,6.0,,,
1743421500,"Bucharest, Romania",ATP,Red clay,Round of 32,Ended,2.0,Nishesh Basavareddy,Filip Cristian Jianu,3.0,4.0,,,,6.0,6.0,,,
1743421500,"Barletta, Italy, Qualifying",Challenger,Red clay,Qualification Round 1,Ended,1.0,Francesco Maestrelli,Matthew Dellavedova,7.0,6.0,6.0,,,6.0,7.0,4.0,,
1743423000,"Menorca, Spain, Qualifying",Challenger,Red clay,Qualification Final,Ended,2.0,Marko Topo,Max Alcala Gurri,5.0,2.0,,,,7.0,6.0,,,
1743423300,"Barletta, Italy, Qualifying",Challenger,Red clay,Qualification Final,Ended,1.0,Tiago Pereira,Gianluca Cadenasso,7.0,6.0,6.0,,,5.0,7.0,4.0,,
1743423600,"Menorca, Spain, Qualifying",Challenger,Red clay,Qualification Final,Ended,2.0,Alberto Barroso Campos,Gerard Campana Lee,2.0,3.0,,,,6.0,6.0,,,
1743424200,"Marrakech, Morocco, Qualifying",ATP,Red clay,Qualification Final,Ended,1.0,Kamil Majchrzak,Sumit Nagal,7.0,6.0,,,,5.0,1.0,,,
1743424200,"Barletta, Italy, Qualifying",Challenger,Red clay,Qualification Round 1,Ended,2.0,Giuseppe Tresca,Vitaliy Sachko,5.0,3.0,,,,7.0,6.0,,,
1743424200,"Barletta, Italy, Qualifying",Challenger,Red clay,Qualification Final,Ended,2.0,Federico Iannaccone,Dino Prižmić,4.0,2.0,,,,6.0,6.0,,,
1743425100,"Marrakech, Morocco, Qualifying",ATP,Red clay,Qualification Final,Ended,2.0,Harold Mayot,Pierre-Hugues Herbert,1.0,4.0,,,,6.0,6.0,,,
1743425100,"Menorca, Spain, Qualifying",Challenger,Red clay,Qualification Final,Retired,1.0,Kilian Feldbausch,Norbert Gombos,4.0,6.0,5.0,,,6.0,4.0,2.0,,
1743426600,"Marrakech, Morocco",ATP,Red clay,Round of 32,Ended,1.0,Roberto Carballés Baena,Taha Baadi,7.0,6.0,,,,6.0,3.0,,,
1743427800,"Campinas, Brazil, Qualifying",Challenger,Red clay,Qualification Final,Ended,2.0,Vladyslav Orlov,Connor Huertas Del Pino,6.0,2.0,5.0,,,3.0,6.0,7.0,,
1743427800,"Campinas, Brazil, Qualifying",Challenger,Red clay,Qualification Final,Ended,1.0,Yuki Mochizuki,Paulo Andre Saraiva Dos Santos,4.0,7.0,6.0,,,6.0,5.0,2.0,,
1743427800,"Campinas, Brazil, Qualifying",Challenger,Red clay,Qualification Final,Ended,2.0,Igor Gimenez,Ignacio Monzon,3.0,3.0,,,,6.0,6.0,,,
1743429600,"Bucharest, Romania",ATP,Red clay,Round of 32,Ended,2.0,Botic Van de Zandschulp,Richard Gasquet,6.0,5.0,1.0,,,4.0,7.0,6.0,,
1743430500,"Menorca, Spain, Qualifying",Challenger,Red clay,Qualification Final,Ended,1.0,Zsombor Piros,Miguel Damas,6.0,6.0,,,,3.0,1.0,,,
1743431400,"Menorca, Spain, Qualifying",Challenger,Red clay,Qualification Final,Ended,1.0,Kimmer Coppejans,Ryan Nijboer,7.0,6.0,,,,5.0,1.0,,,
