start_timestamp,tournament_name,category_name,ground_type,round_name,status,winner,home_team,away_team,home_set1,home_set2,home_set3,home_set4,home_set5,away_set1,away_set2,away_set3,away_set4,away_set5
1738318500,"Singapore, Singapore",WTA,Hardcourt outdoor,Quarterfinals,Ended,2.0,Jil Teichmann,Xinyu Wang,7.0,6.0,4.0,,,6.0,7.0,6.0,,
1738321200,"Koblenz, Germany",Challenger,Hardcourt indoor,Quarterfinals,Ended,2.0,Alexey Vatutin,Jakub Paul,3.0,6.0,3.0,,,6.0,2.0,6.0,,
1738324800,"Linz, Austria",WTA,Hardcourt indoor,Quarterfinals,Ended,1.0,Dayana Yastremska,Maria Sakkari,7.0,6.0,,,,5.0,0.0,,,
1738329000,"Koblenz, Germany",Challenger,Hardcourt indoor,Quarterfinals,Ended,1.0,Ugo Blanchet,Matteo Martineau,7.0,3.0,7.0,,,6.0,6.0,6.0,,
1738330200,"Montpellier, France",ATP,Hardcourt indoor,Quarterfinals,Ended,2.0,Yunchaokete Bu,Felix Auger-Aliassime,3.0,4.0,,,,6.0,6.0,,,
1738330500,"Linz, Austria",WTA,Hardcourt indoor,Quarterfinals,Ended,1.0,Clara Tauson,Anna Blinkova,6.0,6.0,,,,4.0,3.0,,,
1738331700,"Singapore, Singapore",WTA,Hardcourt outdoor,Quarterfinals,Ended,2.0,Camila Osorio,Elise Mertens,4.0,2.0,,,,6.0,6.0,,,
1738332000,"Piracicaba, Brazil",Challenger,Red clay,Round of 16,Ended,2.0,Mateus Alves,Roman Andres Burruchaga,6.0,6.0,3.0,,,7.0,4.0,6.0,,
1738335000,"Piracicaba, Brazil",Challenger,Red clay,Round of 16,Ended,2.0,Pedro Sakamoto,Hugo Dellien,6.0,6.0,6.0,,,7.0,4.0,7.0,,
1738336200,"Montpellier, France",ATP,Hardcourt indoor,Quarterfinals,Ended,2.0,Tallon Griekspoor,Jesper De Jong,6.0,4.0,,,,7.0,6.0,,,
1738338000,"Linz, Austria",WTA,Hardcourt indoor,Quarterfinals,Ended,1.0,Karolina Muchova,Anastasia Potapova,6.0,3.0,6.0,,,3.0,6.0,3.0,,
1738338900,"Koblenz, Germany",Challenger,Hardcourt indoor,Quarterfinals,Ended,1.0,Luca Nardi,Mika Brunold,6.0,7.0,,,,4.0,5.0,,,
1738339200,"Cleveland, USA",Challenger,Hardcourt indoor,Quarterfinals,Ended,2.0,James Trotter,Eliot Spizzirri,7.0,3.0,6.0,,,5.0,6.0,7.0,,
1738344600,"Montpellier, France",ATP,Hardcourt indoor,Quarterfinals,Retired,1.0,Andrey Rublev,Nikoloz Basilashvili,5.0,,,,,2.0,,,,
1738345200,"Koblenz, Germany",Challenger,Hardcourt indoor,Quarterfinals,Ended,2.0,Henri Squire,Giulio Zeppieri,6.0,6.0,3.0,,,4.0,7.0,6.0,,
1738347000,"Linz, Austria",WTA,Hardcourt indoor,Quarterfinals,Ended,1.0,Ekaterina Alexandrova,Petra Martić,3.0,6.0,6.0,,,6.0,2.0,2.0,,
1738347300,"Montpellier, France",ATP,Hardcourt indoor,Quarterfinals,Ended,2.0,Alexander Bublik,Aleksandar Kovacevic,3.0,2.0,,,,6.0,6.0,,,
1738348500,"Cleveland, USA",Challenger,Hardcourt indoor,Quarterfinals,Ended,2.0,Murphy Cassone,Tyler Zink,7.0,6.0,5.0,,,6.0,7.0,7.0,,
1738365900,"Cleveland, USA",Challenger,Hardcourt indoor,Quarterfinals,Ended,1.0,Jeffrey John Wolf,Stefan Kozlov,6.0,6.0,,,,1.0,3.0,,,
1738373700,"Cleveland, USA",Challenger,Hardcourt indoor,Quarterfinals,Ended,2.0,Karue Sell,Colton Smith,6.0,2.0,,,,7.0,6.0,,,
1738386300,"Brisbane, Australia",Challenger,Hardcourt outdoor,Semifinals,Ended,2.0,Omar Jasika,Marek Gengel,6.0,3.0,,,,7.0,6.0,,,
1738389600,"Singapore, Singapore",WTA,Hardcourt outdoor,Semifinals,Retired,2.0,Anna Kalinskaya,Ann Li,6.0,0.0,,,,7.0,1.0,,,
1738393200,"Abu Dhabi, UAE, Qualifying",WTA,Hardcourt outdoor,Qualification Round 1,Ended,1.0,McCartney Kessler,Yuliia Starodubtseva,6.0,6.0,,,,2.0,1.0,,,
1738393200,"Abu Dhabi, UAE, Qualifying",WTA,Hardcourt outdoor,Qualification Round 1,Ended,2.0,Aoi Ito,Sofia Kenin,6.0,2.0,,,,7.0,6.0,,,
1738393200,"Abu Dhabi, UAE, Qualifying",WTA,Hardcourt outdoor,Qualification Round 1,Retired,1.0,Teodora Kostovic,Diane Parry,6.0,,,,,2.0,,,,
1738393500,"Brisbane, Australia",Challenger,Hardcourt outdoor,Semifinals,Ended,1.0,Tristan Schoolkate,Adam Walton,4.0,6.0,7.0,,,6.0,3.0,6.0,,
1738395000,"Singapore, Singapore",WTA,Hardcourt outdoor,Semifinals,Ended,2.0,Xinyu Wang,Elise Mertens,3.0,4.0,,,,6.0,6.0,,,
1738396500,"Abu Dhabi, UAE, Qualifying",WTA,Hardcourt outdoor,Qualification Round 1,Ended,1.0,Moyuka Uchijima,Olivia Gadecki,7.0,6.0,,,,5.0,2.0,,,
1738396800,"Cluj Napoca, Romania, Qualifying",WTA,Hardcourt indoor,Qualification Round 1,Ended,1.0,Anna Bondar,Leyre Romero Gormaz,6.0,7.0,,,,4.0,6.0,,,
1738396800,"Cluj Napoca, Romania, Qualifying",WTA,Hardcourt indoor,Qualification Round 1,Ended,2.0,Barbora Palicova,Anastasia Zakharova,3.0,4.0,,,,6.0,6.0,,,
1738398600,"Abu Dhabi, UAE, Qualifying",WTA,Hardcourt outdoor,Qualification Round 1,Ended,1.0,Veronika Kudermetova,Laura Samson,6.0,6.0,,,,1.0,2.0,,,
1738399500,"Abu Dhabi, UAE, Qualifying",WTA,Hardcourt outdoor,Qualification Round 1,Ended,2.0,Chloe Paquet,Sonay Kartal,6.0,2.0,3.0,,,4.0,6.0,6.0,,
1738403400,"Cluj Napoca, Romania, Qualifying",WTA,Hardcourt indoor,Qualification Round 1,Ended,2.0,Susan Bandecchi,Daria Snigur,2.0,0.0,,,,6.0,6.0,,,
1738403400,"Abu Dhabi, UAE, Qualifying",WTA,Hardcourt outdoor,Qualification Round 1,Retired,1.0,Renata Zarazua,Ysaline Bonaventure,6.0,1.0,,,,3.0,0.0,,,
1738404000,"Abu Dhabi, UAE, Qualifying",WTA,Hardcourt outdoor,Qualification Round 1,Ended,1.0,Katie Volynets,Heather Watson,6.0,6.0,,,,4.0,3.0,,,
1738404000,"Rotterdam, Netherlands, Qualifying",ATP,Hardcourt indoor,Qualification Round 1,Ended,2.0,Michael Vrbensky,Harold Mayot,2.0,2.0,,,,6.0,6.0,,,
1738404000,"Rotterdam, Netherlands, Qualifying",ATP,Hardcourt indoor,Qualification Round 1,Ended,2.0,Michael Vrbensky,Harold Mayot,2.0,2.0,,,,6.0,6.0,,,
1738404000,"Rotterdam, Netherlands, Qualifying",ATP,Hardcourt indoor,Qualification Round 1,Ended,1.0,Mikhail Kukushkin,Jelle Sels,6.0,6.0,,,,4.0,1.0,,,
