start_timestamp,tournament_name,category_name,ground_type,round_name,status,winner,home_team,away_team,home_set1,home_set2,home_set3,home_set4,home_set5,away_set1,away_set2,away_set3,away_set4,away_set5
1740660000,"Dubai, UAE",ATP,Hardcourt outdoor,Quarterfinals,Ended,2.0,Luca Nardi,Quentin Halys,6.0,3.0,6.0,,,2.0,6.0,7.0,,
1740660000,"Dubai, UAE",ATP,Hardcourt outdoor,Quarterfinals,Ended,2.0,Luca Nardi,Quentin Halys,6.0,3.0,6.0,,,2.0,6.0,7.0,,
1740660000,"Dubai, UAE",ATP,Hardcourt outdoor,Quarterfinals,Ended,2.0,Luca Nardi,Quentin Halys,6.0,3.0,6.0,,,2.0,6.0,7.0,,
1740660000,"Dubai, UAE",ATP,Hardcourt outdoor,Quarterfinals,Ended,2.0,Luca Nardi,Quentin Halys,6.0,3.0,6.0,,,2.0,6.0,7.0,,
1740660000,"Dubai, UAE",ATP,Hardcourt outdoor,Quarterfinals,Ended,2.0,Luca Nardi,Quentin Halys,6.0,3.0,6.0,,,2.0,6.0,7.0,,
1740660000,"Dubai, UAE",ATP,Hardcourt outdoor,Quarterfinals,Ended,2.0,Luca Nardi,Quentin Halys,6.0,3.0,6.0,,,2.0,6.0,7.0,,
1740660000,"Dubai, UAE",ATP,Hardcourt outdoor,Quarterfinals,Ended,2.0,Luca Nardi,Quentin Halys,6.0,3.0,6.0,,,2.0,6.0,7.0,,
1740660000,"Dubai, UAE",ATP,Hardcourt outdoor,Quarterfinals,Ended,2.0,Luca Nardi,Quentin Halys,6.0,3.0,6.0,,,2.0,6.0,7.0,,
1740740700,"Bengaluru, India",Challenger,Hardcourt outdoor,Quarterfinals,Ended,1.0,Billy Harris,Tristan Schoolkate,6.0,1.0,7.0,,,2.0,6.0,5.0,,
1740743400,"Kigali 1, Rwanda",Challenger,Red clay,Semifinals,Ended,1.0,Valentin Royer,Marco Cecchinato,7.0,3.0,6.0,,,5.0,6.0,1.0,,
1740747600,"Dubai, UAE",ATP,Hardcourt outdoor,Semifinals,Ended,2.0,Quentin Halys,Felix Auger-Aliassime,7.0,4.0,3.0,,,5.0,6.0,6.0,,
1740747600,"Lugano, Switzerland",Challenger,Hardcourt indoor,Quarterfinals,Ended,1.0,Raphael Collignon,Liam Draxl,6.0,6.0,,,,4.0,4.0,,,
1740747900,"Bengaluru, India",Challenger,Hardcourt outdoor,Quarterfinals,Ended,2.0,Petr Bar Biryukov,Brandon Holt,4.0,4.0,,,,6.0,6.0,,,
1740754800,"Lugano, Switzerland",Challenger,Hardcourt indoor,Quarterfinals,Ended,2.0,Luca Van Assche,Murphy Cassone,6.0,6.0,6.0,,,7.0,0.0,7.0,,
1740756900,"Dubai, UAE",ATP,Hardcourt outdoor,Semifinals,Ended,2.0,Tallon Griekspoor,Stefanos Tsitsipas,4.0,4.0,,,,6.0,6.0,,,
1740762000,"Santiago, Chile",ATP,Red clay,Quarterfinals,Ended,1.0,Laslo Djere,Jaime Faria,7.0,4.0,6.0,,,6.0,6.0,4.0,,
1740763500,"Lugano, Switzerland",Challenger,Hardcourt indoor,Quarterfinals,Ended,2.0,Vilius Gaubas,Dino Prižmić,2.0,3.0,,,,6.0,6.0,,,
1740765600,"San Diego, USA",Challenger,Hardcourt outdoor,Quarterfinals,Ended,1.0,Eliot Spizzirri,Taro Daniel,6.0,6.0,6.0,,,7.0,0.0,4.0,,
1740765600,"Austin, USA",WTA,Hardcourt outdoor,Quarterfinals,Ended,2.0,Ena Shibahara,Ajla Tomljanovic,5.0,6.0,6.0,,,7.0,3.0,7.0,,
1740765600,"Lugano, Switzerland",Challenger,Hardcourt indoor,Quarterfinals,Ended,2.0,Henri Squire,Borna Ćorić,2.0,2.0,,,,6.0,6.0,,,
1740769200,"San Diego, USA",Challenger,Hardcourt outdoor,Quarterfinals,Retired,1.0,Kamil Majchrzak,Alex Bolt,7.0,1.0,,,,6.0,1.0,,,
1740772800,"Santiago, Chile",ATP,Red clay,Quarterfinals,Ended,1.0,Francisco Cerundolo,Tomas Martin Etcheverry,4.0,6.0,7.0,,,6.0,3.0,5.0,,
1740772800,"Merida, Mexico",WTA,Hardcourt outdoor,Quarterfinals,Ended,2.0,Maya Joint,Elina Avanesyan,6.0,2.0,0.0,,,4.0,6.0,6.0,,
1740774600,"San Diego, USA",Challenger,Hardcourt outdoor,Quarterfinals,Ended,2.0,Trevor Svajda,Mackenzie McDonald,3.0,4.0,,,,6.0,6.0,,,
1740775800,"Austin, USA",WTA,Hardcourt outdoor,Quarterfinals,Ended,1.0,Jessica Pegula,Anna Blinkova,6.0,6.0,,,,2.0,2.0,,,
1740780300,"Merida, Mexico",WTA,Hardcourt outdoor,Quarterfinals,Ended,1.0,Emiliana Arango,Rebecca Sramkova,5.0,6.0,6.0,,,7.0,3.0,0.0,,
1740780900,"San Diego, USA",Challenger,Hardcourt outdoor,Quarterfinals,Ended,2.0,Arthur Cazaux,Ethan Quinn,5.0,7.0,4.0,,,7.0,6.0,6.0,,
1740784500,"Santiago, Chile",ATP,Red clay,Quarterfinals,Ended,1.0,Camilo Ugo Carabelli,Federico Coria,6.0,6.0,,,,4.0,3.0,,,
1740787200,"Austin, USA",WTA,Hardcourt outdoor,Quarterfinals,Ended,1.0,McCartney Kessler,Sorana Cirstea,5.0,6.0,6.0,,,7.0,4.0,1.0,,
1740788100,"Merida, Mexico",WTA,Hardcourt outdoor,Quarterfinals,Ended,1.0,Emma Navarro,Zeynep Sonmez,6.0,6.0,,,,4.0,2.0,,,
1740790800,"Acapulco, Mexico",ATP,Hardcourt outdoor,Semifinals,Ended,1.0,Tomas Machac,Brandon Nakashima,6.0,1.0,6.0,,,4.0,6.0,4.0,,
1740791100,"Santiago, Chile",ATP,Red clay,Quarterfinals,Ended,2.0,Damir Džumhur,Sebastián Báez,4.0,4.0,,,,6.0,6.0,,,
1740793800,"Merida, Mexico",WTA,Hardcourt outdoor,Quarterfinals,Retired,1.0,Daria Saville,Paula Badosa,1.0,5.0,,,,6.0,3.0,,,
1740796500,"Austin, USA",WTA,Hardcourt outdoor,Quarterfinals,Ended,1.0,Greet Minnen,Caroline Dolehide,6.0,7.0,,,,3.0,5.0,,,
1740799200,"Acapulco, Mexico",ATP,Hardcourt outdoor,Semifinals,Ended,2.0,Denis Shapovalov,Alejandro Davidovich Fokina,6.0,6.0,,,,7.0,7.0,,,
